"","is.highlightTrue","X.2","grp1","grp2","artist.display.bio_1","artist.nationalityAmerican_1","artist.nationalityFrench_1","artist.nationality_1","artist.roleArtist_1","artist.role_1","city_1","classificationDrawings_1","classificationPaintings_1","classificationPhotographs_1","classificationPrints_1","classification_1","countryEgypt_1","country_1","culture_1","departmentAsianArt_1","departmentCostumeInstitute_1","departmentDrawingsandPrints_1","departmentEgyptianArt_1","departmentEuropeanSculptureandDecorativeArts_1","departmentGreekandRomanArt_1","departmentPhotographs_1","dimensions_1","geography.typeFrom_1","geography.typeMadein_1","geography.type_1","grp3","mediumOiloncanvas_1","object.begin.date","object.end.date","object.namePainting_1","object.namePhotograph_1","object.namePrint_1","region_1"
"1",0,1.71365200447802,0.591253055510294,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.537305553809672,0.582691752468743,0,0,0,1
"2",0,0.948820095983074,-1.68886870899816,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.521208309119968,0.574748575375712,1,0,0,1
"3",1,-1.32890708583196,-0.861161652757069,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.147721636874388,-0.163966894276157,0,0,0,1
"4",0,0.841687733648215,1.23712083460927,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.580231539648882,0.630350815026928,0,0,1,1
"5",1,-0.46532708683706,0.804340877425708,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.678930711634613,-0.727932467881347,0,0,0,1
"6",1,-0.912488251365165,-0.15155799145449,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.0278865930732604,0.0961721555206034,0,0,0,1
"7",0,0.301367993176754,-0.0635572580815306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.589174453365384,0.640279786393216,0,0,0,1
"8",1,-0.953478024780241,-0.179601160227749,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.09030474259371,-1.82011931817309,0,0,0,0
"9",1,-0.596680678917191,0.725747225791983,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0171550966134579,0.165674955084623,0,0,0,1
"10",1,-0.679591811506777,0.704161263743434,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116988609134074,0.163689160811366,0,0,0,0
"11",1,-0.482095630506864,0.786912613232277,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.732588193933625,-0.630628548491719,0,0,0,1
"12",1,-0.386142297285208,0.88102214289516,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0.57128862593238,0.620421843660639,1,0,0,1
"13",1,-1.18637446463863,-0.505434598840069,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.467550826820956,0.505245775811692,0,1,0,1
"14",1,-1.69874663232708,-1.7200475716845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.353081531249729,0.403970267875549,0,0,0,1
"15",1,-1.30282268456782,-0.686437690938701,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.329829955586823,0.372197559503425,0,0,0,1
"16",0,0.482095630506864,1.36126334375074,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0.683969338760306,0.745526882875875,0,0,0,1
"17",1,-1.18357970736033,-0.502205995477714,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0.548037050269474,0.594606518108289,0,1,0,1
"18",0,0.958135953577409,-1.36963184128446,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.226092156475399,0.354325411044106,0,0,0,1
"19",0,0.433653171016319,0.447390515759902,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.578442956905582,0.62836502075367,0,0,1,1
"20",0,0.728034270997322,-0.246085613639116,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.18134021600696,-2.31656788648752,0,0,0,1
"21",0,0.346084109629565,0.910435726045245,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.578442956905582,0.648222963486247,0,0,0,1
"22",0,0.745734400426559,0.72745830814949,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.247882270499212,-0.231483899566919,0,0,0,1
"23",0,0.106666569455142,0.598120612302641,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.539094136552972,0.584677546742,0,0,0,1
"24",0,0.799766374473705,-0.648940985701568,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,-1.80752642265718,-2.4158576001504,0,0,0,1
"25",0,0.917146180162333,-0.349857726026744,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.540882719296273,0.590634929561773,0,1,0,1
"26",0,0.28180469222865,-1.57112146694854,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.163491760459884,0.562833809736166,0,0,0,1
"27",0,0.776476730487866,-0.544564961893644,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-2.52295951997734,-3.1108855957906,0,0,0,1
"28",1,-1.0661999016717,-0.277914842470388,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.553729919603584,0.163689160811366,0,0,0,1
"29",1,-1.0801736880632,-0.28458109545597,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.732588193933625,-0.43006332689269,0,0,0,0
"30",1,-0.600407021954925,0.725716255975558,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.510476812660166,0.556876426916392,0,0,0,1
"31",1,-0.489548316582332,0.783335599435136,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.857788985964655,-0.946369837939695,0,0,0,1
"32",0,0.525880161200241,1.00674411267434,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,-0.562672833320086,-0.63857172558475,0,0,0,1
"33",0,0.517495889365339,-0.0694492656564754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.0740626232948635,0.0683710356949955,0,0,0,1
"34",0,0.709402555808651,-0.207714011087965,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.83077799832008,-2.04649986532447,0,0,0,0
"35",1,-1.12582139027545,-0.453118836443352,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.556979963985976,0.604535489474577,0,1,0,1
"36",1,-1.6242197715724,-1.68533040747155,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.35844727947963,0.384112325142972,0,0,0,1
"37",0,0.879882749784991,0.238266830346947,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.367390193196132,0.413899239241837,0,0,0,1
"38",0,1.32145439975649,1.07858634432731,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.664294928584002,0.72368314587004,0,0,0,0
"39",1,-0.299504821657887,0.938602774084206,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.39958468257554,0.497302598718661,0,0,0,1
"40",0,0.457874400761591,1.42923434835053,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0.447876416644651,0.483402038805857,0,1,0,1
"41",1,-1.71178883295915,-1.74949986710511,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.438933502928149,0.473473067439569,0,0,0,1
"42",0,0.337699837794663,-1.75893791866077,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.233246487448601,0.344396439677817,0,0,0,1
"43",0,1.56832462600639,-1.6487860240895,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.506899647173565,0.548933249823362,0,0,0,1
"44",1,-0.280873106469216,0.940166749813692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.501533898943664,0.582691752468743,0,0,0,1
"45",0,1.10160016053018,0.0620176050696246,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.392430351602338,0.421842416334868,0,0,0,1
"46",1,-0.997262555473619,-0.219583193233025,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.295846883464115,0.811058093893379,0,0,0,1
"47",1,-1.72203627631292,-1.76428021199417,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.478282323280758,0.517160541451238,0,0,0,1
"48",1,-0.248267604889042,0.957633726277654,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.72671307810445,1.90324494418512,0,0,0,0
"49",1,-0.675865468469043,0.704726462893199,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.553729919603584,-0.432049121165948,0,0,0,1
"50",1,-1.42951834785079,-1.24672812480001,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.294058300720815,0.348368028224333,0,0,0,1
"51",1,-0.587364821322855,0.725832392787153,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.156664550590891,-0.187796425555249,0,0,0,1
"52",1,-0.19796197387963,0.964927118045851,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,-2.28507801511839,-3.15060148125575,0,0,0,0
"53",1,-0.513769546327605,0.776135117116215,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.98459611424392,-2.11798845916174,0,0,0,1
"54",1,-1.00471524154909,-0.225916520692032,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.340561452046626,0.662123523399051,0,0,0,0
"55",1,-0.741076471629391,0.665650297018368,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.553729919603584,-0.432049121165948,0,0,0,1
"56",0,1.20593776558673,1.55088378726976,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.501533898943664,0.560848015462908,0,0,1,1
"57",0,1.38759698867628,-0.170132138855663,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.98459611424392,-2.61443702747617,0,0,0,0
"58",0,0.744802814667126,1.27495046537297,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.483648071510659,0.540990072730331,0,0,1,1
"59",1,-1.53571912442621,-1.61722778115195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1960133709435,-0.122265214537745,0,0,0,1
"60",0,0.371236925134271,0.355688889324099,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.496168150713762,0.542975867003588,0,0,0,1
"61",0,0.746665986185993,-0.920329487037921,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.1960133709435,-0.0348902665144055,0,0,0,1
"62",0,1.23668009564804,-1.32927042802798,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.161703177716584,0.560848015462908,0,0,0,1
"63",0,1.6102459851809,1.30229681327666,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.501533898943664,0.552904838369877,0,1,0,1
"64",1,-0.430858413738018,0.850818829426225,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.673237842300504,0.733612117236329,1,0,0,1
"65",1,-0.0302765371815905,1.60995871210134,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.476493740537458,0.515174747177981,0,0,0,1
"66",1,-1.01216792762456,-0.235772664769437,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.161703177716584,0.364254382410394,0,0,0,0
"67",1,-0.767160872893531,0.638040705675066,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.24072793952601,-0.181839042735476,0,0,0,1
"68",0,0.795108445676537,-0.496879187052534,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0.574865791418981,0.624393432207155,0,1,0,1
"69",0,0.0079184789551852,-0.876212983539845,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.229669321962,0.260993080200993,0,0,0,1
"70",1,-0.275283591912615,0.941808150084242,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.156337429486683,0.15971757226485,0,0,0,1
"71",1,-0.785792588082202,0.621069246273911,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.084794119754666,0.100143744067119,1,0,0,1
"72",1,-0.377758025450306,0.885141128479747,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0.548037050269474,0.594606518108289,1,0,0,1
"73",0,0.566869934615317,-1.76198844557868,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.331618538330124,0.384112325142972,0,0,0,1
"74",1,-1.62515135733183,-1.68540783201261,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.213572077272296,0.223262989009097,1,0,0,1
"75",0,1.38387064563854,-1.60048085291988,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.152760264000082,0.155745983718335,0,0,0,1
"76",0,0.251062362167343,1.4532746683508,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0.447876416644651,0.501274187265176,0,0,0,1
"77",0,1.15190579153959,-1.36315914965154,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.0171550966134579,0.163689160811366,0,0,0,1
"78",1,-1.4658501924687,-1.25577131119624,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0.637466187434495,0.695882026044432,0,0,0,1
"79",1,-1.00378365578965,-0.225908778237926,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.553729919603584,-0.132194185904033,0,0,0,1
"80",0,1.41740773297815,0.251607078772217,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.169184629793993,-0.181839042735476,0,0,0,1
"81",0,0.823987604218978,0.257940406231224,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.540882719296273,0.586663341015258,0,0,1,1
"82",1,-0.366578996337103,0.895438592441214,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.69827800070671,0.761413237061937,1,0,0,1
"83",0,0.415953041587081,-0.290875710644446,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.62687956558383,-0.072620357706302,0,0,0,1
"84",1,-0.674933882709609,0.70487356952122,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0618696651959683,0.0266693559565835,0,0,0,1
"85",0,0.502590517214402,0.0905485484515845,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.413893344521943,0.531061101364042,0,0,0,1
"86",0,0.940435824148172,-1.6281059291714,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.163491760459884,0.364254382410394,0,0,0,1
"87",0,0.154177443186253,1.5515341534147,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,-0.106584233778479,0.0465272986891607,0,0,1,1
"88",1,-0.745734400426559,0.660091214969997,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106584233778479,-0.00311755814228212,0,0,0,1
"89",0,1.08203685958207,-0.296643838953688,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.340561452046626,0.761413237061937,0,0,0,0
"90",1,-0.704744627011483,0.690054512361635,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.571615747036588,-0.549210983288153,0,0,0,1
"91",1,-1.31959122823763,-0.850546748177241,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.170646091433086,0.215319811916066,0,0,0,1
"92",1,-0.720581584921853,0.685076114371241,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.80573783991388,-1.82210511244635,0,0,0,1
"93",1,-1.15842689185562,-0.490135509525889,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0.651774849380899,0.709782585957236,0,1,0,1
"94",0,1.69408870352992,-1.16254442130148,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0.57307720867568,0.640279786393216,0,0,0,1
"95",1,-0.0787189966721352,1.43463083886267,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.224303573732099,0.25503569738122,0,0,0,1
"96",1,-0.241746504573007,0.958903488751098,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,-0.392757472706546,-0.523395657735802,0,0,0,1
